facility_name,address,lat,lon,nearest_walk_time_sec,nearest_walk_distance_m,has_subway_within_600m,num_transit_within_300m,programs
군포국민체육센터,경기도 군포시 군포로 339 (부곡동),37.33876324,126.9364804,99,109,False,5,"[{""program_name"": ""웰빙댄스 (11시 월수)"", ""schedules"": [""월수""]}, {""program_name"": ""웰빙댄스 (11시 화목)"", ""schedules"": [""화목""]}]"
금천구민문화체육센터,서울특별시 금천구 독산로54길 188 (독산동),37.47006899,126.9073405,11,14,False,5,"[{""program_name"": ""바디핏펑셔널트레이닝(토10:00~10:40)  장소:2층힐링룸"", ""schedules"": [""토 / 10:00~10:40""]}]"
기장생활체육센터,부산광역시 기장군 기장읍 차성서로109번길 24,35.24365234,129.2082011,459,474,False,0,"[{""program_name"": ""[2025년] 14시30분 실버줌바(수,금)"", ""schedules"": [""수금""]}, {""program_name"": ""[2025년] 15시30분 실버줌바(수,금)"", ""schedules"": [""수금""]}]"
기장생활체육센터수영장,부산광역시 기장군 기장읍 차성서로109번길 24,35.24365234,129.2082011,459,474,False,0,"[{""program_name"": ""[2025년] 12시 실버아쿠아로빅(수,금)"", ""schedules"": [""수금""]}, {""program_name"": ""[2025년] 14시30분 실버아쿠아로빅(화,목)"", ""schedules"": [""화목""]}]"
도봉동실내스포츠센터(별관),서울특별시 도봉구 도봉로180나길 41 (도봉동),37.68434572,127.0498959,57,65,False,4,"[{""program_name"": ""08시아쿠아A"", ""schedules"": [""월수금 / 08:00~08:50""]}, {""program_name"": ""08시아쿠아B"", ""schedules"": [""화목 / 08:00~08:50""]}, {""program_name"": ""10시오전수영B(상급)"", ""schedules"": [""화목 / 10:00~10:50""]}, {""program_name"": ""10시오전수영B(중급)"", ""schedules"": [""화목 / 10:00~10:50""]}, {""program_name"": ""10시오전수영B(초급)"", ""schedules"": [""화목 / 10:00~10:50""]}, {""program_name"": ""11시아쿠아B"", ""schedules"": [""화목 / 11:00~11:50""]}, {""program_name"": ""11시오전수영A(상급)"", ""schedules"": [""월수금 / 11:00~11:50""]}, {""program_name"": ""11시오전수영A(중급)"", ""schedules"": [""월수금 / 11:00~11:50""]}, {""program_name"": ""11시오전수영A(초급)"", ""schedules"": [""월수금 / 11:00~11:50""]}, {""program_name"": ""12시아쿠아A"", ""schedules"": [""월수금 / 12:00~12:50""]}, {""program_name"": ""12시아쿠아B"", ""schedules"": [""화목 / 12:00~12:50""]}, {""program_name"": ""14시아쿠아A"", ""schedules"": [""월수금 / 14:00~14:50""]}, {""program_name"": ""14시아쿠아B"", ""schedules"": [""화목 / 14:00~14:50""]}, {""program_name"": ""15시수중체조B"", ""schedules"": [""화목 / 15:00~15:50""]}, {""program_name"": ""15시아쿠아A"", ""schedules"": [""월수금 / 15:00~15:50""]}, {""program_name"": ""18시아쿠아A"", ""schedules"": [""월수금 / 18:00~18:50""]}, {""program_name"": ""18시아쿠아B"", ""schedules"": [""화목 / 18:00~18:50""]}, {""program_name"": ""19시아쿠아(월수)"", ""schedules"": [""월수 / 19:00~19:50""]}]"
동부스포츠센터,경상남도 김해시 신어산길 44 (삼방동),35.25635545,128.907378,171,190,False,1,"[{""program_name"": ""06.<10월신규> 08시 실버수영교실(65세이상)"", ""schedules"": [""월화수목금""]}]"
백운커뮤니티센터수영장,경기도 의왕시 백운중앙로 74 (학의동),37.3700378,127.0075798,100,96,False,4,"[{""program_name"": ""15시 화목 실버 아쿠아로빅(60세이상 남녀)"", ""schedules"": [""화목""]}]"
부곡스포츠센터,경기도 의왕시 부곡시장길 77 (삼동),37.31864467,126.9572377,93,93,False,5,"[{""program_name"": ""14시 화목 실버 아쿠아로빅"", ""schedules"": [""화목""]}]"
부산 올림픽기념국민생활관,부산광역시 해운대구 APEC로 68 (우동),35.16742686,129.1376942,51,57,True,5,"[{""program_name"": ""실버태권도교실"", ""schedules"": [""화목 / 09:00~09:50""]}]"
부산국민체육센터수영장,부산광역시 서구 대신로 150 (서대신동3가),35.11732559,129.0157718,123,127,False,5,"[{""program_name"": ""실버수영 A반"", ""schedules"": [""화목토 / 14:00~14:50""]}]"
부산한마음스포츠센터수영장,부산광역시 해운대구 세실로 175(좌동),35.18039783,129.1766873,57,59,True,5,"[{""program_name"": ""일반수영 실버수영A"", ""schedules"": [""월수금 / 15:00-15:50""]}, {""program_name"": ""일반수영 실버수영B"", ""schedules"": [""화목 / 15:00-15:50""]}, {""program_name"": ""일반수영 실버활력수영"", ""schedules"": [""월수금 / 15:00-15:50""]}, {""program_name"": ""일반수영 효도수영(14~15)"", ""schedules"": [""화목 / 14:00-14:50""]}]"
부산한마음스포츠센터실내골프연습장,부산광역시 해운대구 세실로 175(좌동),35.18039783,129.1766873,57,59,True,5,"[{""program_name"": ""골프교실 시니어주말골프A"", ""schedules"": [""토 / 15:00-15:50""]}, {""program_name"": ""골프교실 시니어주말골프B"", ""schedules"": [""토 / 16:00-16:50""]}]"
분당야탑청소년수련관수영장,경기도 성남시 분당구 벌말로30번길 35(야탑동),37.4102383,127.1418618,207,244,False,4,"[{""program_name"": ""(만60세이상성인)노부모수영(월수금15시)"", ""schedules"": [""월수금""]}]"
사하구국민체육센터,부산광역시 사하구 감천로 68 (감천동),35.08943459,128.9988759,147,86,False,5,"[{""program_name"": ""15시 실버요가[월수금]"", ""schedules"": [""월수금""]}]"
상록수체육관,경기도 안산시 상록구 용신로 422 (본오동),37.30095518,126.8685761,5,5,False,3,"[{""program_name"": ""상록웰빙댄스경로07시(화목/지르박초급)"", ""schedules"": [""화목""]}]"
